level,name,mean,std,min,max,num_trials,hardware,device,source_file
level1,1_Square_matrix_multiplication_.py,0.356,0.111,0.304,0.938,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,2_Standard_matrix_multiplication_.py,0.374,0.0831,0.331,0.725,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,3_Batched_matrix_multiplication.py,0.216,0.0903,0.168,0.546,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,4_Matrix_vector_multiplication_.py,0.133,0.0762,0.0957,0.631,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,5_Matrix_scalar_multiplication.py,0.363,0.0758,0.326,0.706,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,6_Matmul_with_large_K_dimension_.py,0.95,0.164,0.857,1.38,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,7_Matmul_with_small_K_dimension_.py,0.737,0.126,0.671,1.12,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,8_Matmul_with_irregular_shapes_.py,5.83,0.18,5.27,6.23,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,9_Tall_skinny_matrix_multiplication_.py,0.711,0.119,0.651,1.03,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,10_3D_tensor_matrix_multiplication.py,0.928,0.146,0.844,1.3,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,11_4D_tensor_matrix_multiplication.py,22.4,0.577,20.9,24.0,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,12_Matmul_with_diagonal_matrices_.py,2.39,0.335,1.8,3.05,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,13_Matmul_for_symmetric_matrices.py,2.82,0.221,2.45,3.34,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,14_Matmul_for_upper_triangular_matrices.py,2.53,0.254,1.99,3.04,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,15_Matmul_for_lower_triangular_matrices.py,2.54,0.196,2.05,3.01,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,16_Matmul_with_transposed_A.py,0.376,0.119,0.31,0.831,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,17_Matmul_with_transposed_B.py,0.425,0.0934,0.368,0.747,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,18_Matmul_with_transposed_both.py,0.381,0.106,0.319,0.705,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,19_ReLU.py,0.0174,0.0321,0.00358,0.248,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,20_LeakyReLU.py,0.014,0.0221,0.0041,0.221,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,21_Sigmoid.py,0.0173,0.0297,0.00435,0.232,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,22_Tanh.py,0.0186,0.0299,0.00419,0.213,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,23_Softmax.py,0.0194,0.0196,0.00806,0.186,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,24_LogSoftmax.py,0.0146,0.00648,0.00803,0.0383,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,25_Swish.py,0.025,0.032,0.0081,0.239,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,26_GELU_.py,0.0161,0.0273,0.00394,0.271,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,27_SELU_.py,0.0145,0.0127,0.00432,0.113,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,28_HardSigmoid.py,0.0162,0.0287,0.00403,0.287,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,29_Softplus.py,0.0208,0.0273,0.00445,0.213,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,30_Softsign.py,0.0653,0.0701,0.0123,0.358,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,31_ELU.py,0.0132,0.00801,0.00429,0.049,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,32_HardTanh.py,0.0228,0.0311,0.00397,0.211,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,33_BatchNorm.py,0.66,0.105,0.61,1.06,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,34_InstanceNorm.py,0.653,0.121,0.584,1.04,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,35_GroupNorm_.py,0.763,0.123,0.702,1.14,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,36_RMSNorm_.py,0.909,0.141,0.831,1.27,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,37_FrobeniusNorm_.py,0.561,0.116,0.512,1.17,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,38_L1Norm_.py,0.055,0.0464,0.0143,0.306,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,39_L2Norm_.py,0.0459,0.0556,0.0122,0.398,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,40_LayerNorm.py,9.03,0.318,8.43,9.78,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,41_Max_Pooling_1D.py,0.0276,0.0329,0.00576,0.246,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,42_Max_Pooling_2D.py,0.0763,0.0955,0.0175,0.422,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,43_Max_Pooling_3D.py,0.465,0.107,0.417,0.842,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,44_Average_Pooling_1D.py,0.0211,0.0328,0.0047,0.268,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,45_Average_Pooling_2D.py,0.228,0.0948,0.181,0.568,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,46_Average_Pooling_3D.py,0.456,0.103,0.409,0.785,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,47_Sum_reduction_over_a_dimension.py,0.0222,0.0215,0.0102,0.203,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,48_Mean_reduction_over_a_dimension.py,0.0223,0.028,0.0097,0.216,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,49_Max_reduction_over_a_dimension.py,0.039,0.0528,0.0165,0.427,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,50_Product_reduction_over_a_dimension.py,0.0287,0.0536,0.00941,0.427,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
level1,51_Argmax_over_a_dimension.py,0.0349,0.0428,0.0159,0.263,100,NVIDIA GeForce RTX 5090,cuda:0,baseline_time_torch.json
